points, hull, time
78200, 33, 36
78300, 31, 35
78400, 32, 35
78500, 32, 36
78600, 18, 34
78700, 31, 33
78800, 29, 33
78900, 27, 35
79000, 32, 32
79100, 33, 40
79200, 36, 38
79300, 29, 33
79400, 35, 39
79500, 28, 35
79600, 30, 31
79700, 34, 40
79800, 33, 38
79900, 30, 34
80000, 34, 45
80100, 30, 36
80200, 33, 34
80300, 27, 34
80400, 35, 38
80500, 29, 33
80600, 26, 32
80700, 31, 36
80800, 37, 33
80900, 32, 37
81000, 29, 36
81100, 30, 37
81200, 32, 38
81300, 31, 35
81400, 31, 36
81500, 32, 36
81600, 35, 37
81700, 29, 35
81800, 32, 37
81900, 31, 41
82000, 29, 33
82100, 25, 34
82200, 29, 35
82300, 31, 35
82400, 29, 37
82500, 22, 34
82600, 31, 45
82700, 34, 37
82800, 32, 40
82900, 27, 36
83000, 30, 38
83100, 27, 32
83200, 35, 37
83300, 24, 34
83400, 35, 36
83500, 33, 45
83600, 27, 36
83700, 29, 38
83800, 32, 39
83900, 28, 35
84000, 33, 38
84100, 31, 35
84200, 34, 36
84300, 30, 41
84400, 36, 40
84500, 28, 38
84600, 28, 37
84700, 22, 41
84800, 32, 38
84900, 32, 42
85000, 31, 50
85100, 26, 42
85200, 31, 40
85300, 28, 37
85400, 30, 36
85500, 28, 37
85600, 29, 35
85700, 25, 38
85800, 32, 38
85900, 24, 37
86000, 30, 39
86100, 24, 36
86200, 26, 40
86300, 31, 38
86400, 29, 39
86500, 29, 36
86600, 34, 38
86700, 25, 47
86800, 32, 52
86900, 36, 57
87000, 30, 65
87100, 34, 44
87200, 24, 52
87300, 27, 39
87400, 34, 43
87500, 34, 57
87600, 27, 47
87700, 38, 53
87800, 32, 48
87900, 29, 49
88000, 35, 57
88100, 31, 36
88200, 31, 42
88300, 29, 45
88400, 27, 36
88500, 29, 39
88600, 31, 41
88700, 29, 40
88800, 33, 42
88900, 31, 39
89000, 25, 34
89100, 34, 39
89200, 35, 39
89300, 35, 49
89400, 35, 41
89500, 32, 41
89600, 29, 38
89700, 33, 39
89800, 28, 37
89900, 31, 40
90000, 29, 35
90100, 24, 45
90200, 31, 41
90300, 25, 35
90400, 26, 38
90500, 34, 40
90600, 31, 39
90700, 35, 40
90800, 31, 39
90900, 30, 43
91000, 33, 43
91100, 31, 42
91200, 27, 39
91300, 26, 37
91400, 31, 39
91500, 23, 37
91600, 27, 36
91700, 31, 43
91800, 30, 46
91900, 32, 45
92000, 24, 36
92100, 29, 42
92200, 29, 41
92300, 35, 41
92400, 29, 43
92500, 37, 47
92600, 32, 41
92700, 26, 42
92800, 33, 43
92900, 32, 38
93000, 29, 39
93100, 30, 40
93200, 39, 46
93300, 32, 40
93400, 33, 46
93500, 29, 43
93600, 35, 44
93700, 27, 39
93800, 36, 44
93900, 33, 42
94000, 25, 48
94100, 28, 41
94200, 36, 45
94300, 30, 41
94400, 31, 41
94500, 25, 38
94600, 31, 40
94700, 24, 44
94800, 38, 45
94900, 30, 44
95000, 28, 44
95100, 32, 44
95200, 28, 43
95300, 29, 46
95400, 25, 52
95500, 28, 55
95600, 31, 54
95700, 37, 57
95800, 29, 57
95900, 32, 52
96000, 35, 60
96100, 32, 52
96200, 28, 67
96300, 31, 55
96400, 31, 56
96500, 32, 86
96600, 34, 95
96700, 28, 46
96800, 30, 47
96900, 22, 40
97000, 33, 43
97100, 34, 44
97200, 33, 44
97300, 31, 40
97400, 33, 42
97500, 27, 48
97600, 31, 57
97700, 32, 49
97800, 34, 44
97900, 35, 45
98000, 25, 54
98100, 32, 78
98200, 37, 55
98300, 32, 55
98400, 26, 50
98500, 31, 63
98600, 33, 60
98700, 45, 58
98800, 25, 44
98900, 25, 45
99000, 26, 42
99100, 24, 42
99200, 23, 43
99300, 27, 43
99400, 33, 44
99500, 30, 45
99600, 30, 45
99700, 35, 49
99800, 28, 42
99900, 23, 49
100000, 31, 47
